TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
b3165,,,,b3043,b4122,,b1848,,b3315
b2954,,,,b3046,b3171,,b1787,,b3770
b1432,,,,b3047,b1631,,b1247,,b3821
b0884,,,,b3048,b1891,,b0405,,b1804
b3096,,,,b3055,b2151,,b1244,,b3705
b0423,,,,b3057,b3065,,b3303,,b2948
b0101,,,,b3058,b0945,,b1767,,b0383
b1055,,,,b3060,b2802,,b2066,,b4021
b3703,,,,b3061,b2399,,b3188,,b3641
b3294,,,,b3062,b3084,,b0815,,b1863
b1126,,,,b3063,b1230,,b1211,,b3811
b3662,,,,b3064,b3480,,b1104,,b0875
b4043,,,,b3069,b0459,,b1132,,b2234
b3638,,,,b3072,b2944,,b3091,,b3066
b1162,,,,b3078,b0434,,b0391,,b3178
b3732,,,,b3079,b1798,,b1210,,b0240
b2536,,,,b3080,b2102,,b0269,,b3231
b3633,,,,b3082,b1633,,b3733,,b4222
b3963,,,,b3086,b2681,,b3637,,b2556
b3225,,,,b3088,b0316,,b1534,,b3792
b0143,,,,b3090,b1643,,b2700,,b0184
b0440,,,,b3093,b2101,,b0428,,b0131
b2928,,,,b3104,b0238,,b1246,,b3321
b3640,,,,b3105,b0748,,b3810,,b3067
b0859,,,,b3110,b1216,,b3229,,b4316
b1787,,,,b3113,b0744,,b0961,,b4481
b0405,,,,b3123,b3125,,b1607,,b4686
b3303,,,,b3130,b3717,,b1823,,b3671
b1767,,,,b3132,b1762,,b0433,,b1501
b2066,,,,b3136,b3646,,b2114,,b4314
b3188,,,,b3137,b3645,,b0931,,b2211
b0815,,,,b3138,b3891,,b0526,,b4121
b1104,,,,b3139,b1498,,b1524,,b0958
b1132,,,,b3140,b2562,,b0785,,b2616
b0391,,,,b3141,b4049,,b1324,,b0610
b0130,,,,b3142,b4484,,b0810,,b3184
b3733,,,,b3143,b2866,,b2566,,b2614
b1707,,,,b3144,b2685,,b0493,,b1550
b0443,,,,b3145,b3834,,b3310,,b3667
b3637,,,,b3151,b0195,,b3741,,b0385
b1534,,,,b3155,b0637,,b1187,,b3965
b0537,,,,b3166,b3492,,b1626,,b0604
b2700,,,,b3168,b1281,,b3648,,b4312
b4148,,,,b3169,b2583,,b2378,,b0010
b2321,,,,b3177,b0142,,b3315,,b3181
b4024,,,,b3194,b1655,,b3770,,b3399
b0931,,,,b3195,b0030,,b3802,,b0355
b0526,,,,b3196,b3020,,b3149,,b3714
b1524,,,,b3197,b3186,,b3821,,b2840
b3986,,,,b3214,b2844,,b0688,,b4050
b0785,,,,b3215,b2796,,b3228,,b4292
b2472,,,,b3216,b1632,,b1804,,b2968
b2566,,,,b3218,b0308,,b3705,,b0564
b0493,,,,b3227,b2576,,b2784,,b3071
b3310,,,,b3230,b3573,,b2948,,b3183
b3741,,,,b3238,b0766,,b3608,,b3070
b1626,,,,b3240,b3219,,b4021,,b1253
b3648,,,,b3241,b4001,,b3729,,b3670
b3315,,,,b3242,b4123,,b3641,,b3816
b3770,,,,b3243,b3742,,b2280,,b4400
b3821,,,,b3250,b0460,,b3811,,b0132
b1804,,,,b3251,b0431,,b0159,,b2578
b3705,,,,b3252,b3974,,b2234,,b1559
b2948,,,,b3260,b1269,,b2568,,b4131
b0383,,,,b3262,b3783,,b0221,,b4570
b4021,,,,b3264,b0061,,b0468,,b1452
b3641,,,,b3265,b1212,,b0898,,b4446
b1863,,,,b3266,b3966,,b0891,,b3271
b3811,,,,b3269,b2623,,b0819,,b4367
b0875,,,,b3270,b3643,,b0446,,b0590
b2234,,,,b3313,b0262,,b0131,,b3291
b3066,,,,b3314,b2975,,b2922,,b4490
b3178,,,,b3318,b3711,,b3321,,b3535
b1667,,,,b3320,b1422,,b3067,,b2958
b0240,,,,b3323,b3779,,b3468,,b1457
b3231,,,,b3324,b2171,,b4316,,b1350
b4222,,,,b3325,b1015,,b3671,,b1102
b0889,,,,b3326,b1741,,b3249,,b0591
b2556,,,,b3327,b3397,,b3184,,b0584
b3895,,,,b3328,b2503,,b3728,,b2408
b0390,,,,b3329,b4298,,b3727,,b4205
b3792,,,,b3331,b3737,,b4292,,b1165
b0184,,,,b3332,b3606,,b2572,,b0002
b0131,,,,b3333,b3735,,b3670,,b0593
b3321,,,,b3335,b4373,,b3816,,b4606
b3067,,,,b3338,b1630,,b2026,,b0585
b4316,,,,b3348,b1418,,b2599,,b0032
b3724,,,,b3350,b1621,,b4367,,b0034
b4481,,,,b3351,b3839,,b0453,,b0036
b0438,,,,b3352,b0474,,b2024,,b0037
b4686,,,,b3359,b1329,,b2025,,b0039
b3671,,,,b3364,b1731,,b1625,,b0041
b1501,,,,b3369,b3459,,b4490,,b0043
b4314,,,,b3370,b2533,,b2022,,b0045
b2211,,,,b3374,b1737,,b2021,,b0068
b4121,,,,b3376,b1786,,b3598,,b0070
b3623,,,,b3377,b3935,,,,b0099
b0958,,,,b3379,b2570,,,,b0113
b2616,,,,b3380,b3743,,,,b0121
b0610,,,,b3381,b3546,,,,b0140
b3184,,,,b3391,b1628,,,,b0157
b2614,,,,b3393,b3158,,,,b0161
b3497,,,,b3394,b2468,,,,b0167
b0071,,,,b3395,b0304,,,,b0174
b0908,,,,b3396,b4371,,,,b0211
b3936,,,,b3402,b3734,,,,b0218
b1550,,,,b3412,b3220,,,,b0252
b0004,,,,b3415,b0743,,,,b0278
b3103,,,,b3422,b1231,,,,b0294
b3667,,,,b3423,b3651,,,,b0297
b0385,,,,b3424,b2256,,,,b0311
b3965,,,,b3425,b1084,,,,b0312
b0604,,,,b3434,b0345,,,,b0318
b4312,,,,b3454,b3165,,,,b0319
b0010,,,,b3455,b2954,,,,b0320
b4126,,,,b3456,b0884,,,,b0336
b3181,,,,b3457,b3096,,,,b0364
b3399,,,,b3458,b1650,,,,b0369
b3097,,,,b3461,b0423,,,,b0393
b4171,,,,b3463,b3703,,,,b0469
b0355,,,,b3469,b4147,,,,b0499
b3714,,,,b3470,b3294,,,,b0501
b2840,,,,b3471,b0679,,,,b0504
b4050,,,,b3473,b1126,,,,b0511
b4292,,,,b3486,b4043,,,,b0517
b2968,,,,b3487,b2536,,,,b0524
b0564,,,,b3518,b3633,,,,b0533
b3071,,,,b3521,b3225,,,,b0551
b3401,,,,b3523,b0143,,,,b0587
b3183,,,,b3525,b2928,,,,b0616
b3427,,,,b3526,b3640,,,,b0628
b3070,,,,b3527,b1848,,,,b0630
b1253,,,,b3531,b0859,,,,b0632
b3670,,,,b3532,b2471,,,,b0645
b3005,,,,b3533,b0405,,,,b0650
b3816,,,,b3534,b1767,,,,b0684
b4400,,,,b3539,b2066,,,,b0703
b3777,,,,b3545,b3188,,,,b0731
b0132,,,,b3550,b0815,,,,b0750
b2578,,,,b3552,b0130,,,,b0768
b0546,,,,b3557,b1707,,,,b0771
b3921,,,,b3558,b0443,,,,b0835
b1559,,,,b3561,b3637,,,,b0841
b2814,,,,b3562,b1900,,,,b0899
b4131,,,,b3563,b0537,,,,b0901
b4570,,,,b3567,b2700,,,,b0905
b1452,,,,b3568,b4117,,,,b0960
b4446,,,,b3569,b0433,,,,b0969
b3271,,,,b3570,b2321,,,,b0970
b4367,,,,b3575,b0526,,,,b0993
b0590,,,,b3577,b3986,,,,b1001
b3291,,,,b3578,b2176,,,,b1047
b1810,,,,b3580,b2472,,,,b1069
b2673,,,,b3583,b2566,,,,b1109
b0150,,,,b3584,b3741,,,,b1113
b4490,,,,b3586,b3128,,,,b1121
b3535,,,,b3589,b1626,,,,b1140
b2958,,,,b3595,b3315,,,,b1141
b1457,,,,b3601,b3821,,,,b1148
b1350,,,,b3613,b1804,,,,b1152
b1102,,,,b3615,b3705,,,,b1153
b0591,,,,b3642,b0383,,,,b1157
b0584,,,,b3652,b4021,,,,b1158
b2408,,,,b3653,b3729,,,,b1183
b4205,,,,b3654,b3641,,,,b1202
b1165,,,,b3655,b1666,,,,b1203
b0002,,,,b3657,b4614,,,,b1204
b0593,,,,b3658,b4654,,,,b1207
b4606,,,,b3659,b2237,,,,b1304
b0585,,,,b3664,b0820,,,,b1306
,,,,b3665,b0875,,,,b1310
,,,,b3666,b3160,,,,b1330
,,,,b3668,b2234,,,,b1352
,,,,b3669,b3845,,,,b1353
,,,,b3673,b4059,,,,b1383
,,,,b3677,b3066,,,,b1386
,,,,b3678,b3368,,,,b1387
,,,,b3679,b3231,,,,b1408
,,,,b3683,b3258,,,,b1409
,,,,b3684,b2556,,,,b1424
,,,,b3685,b4385,,,,b1430
,,,,b3686,b3792,,,,b1435
,,,,b3690,b0176,,,,b1453
,,,,b3691,b0898,,,,b1469
,,,,b3696,b1608,,,,b1499
,,,,b3700,b0634,,,,b1502
,,,,b3701,b0067,,,,b1504
,,,,b3702,b0184,,,,b1520
,,,,b3712,b3574,,,,b1527
,,,,b3715,b3321,,,,b1591
,,,,b3716,b1805,,,,b1601
,,,,b3718,b0514,,,,b1615
,,,,b3719,b4316,,,,b1644
,,,,b3720,b3538,,,,b1645
,,,,b3721,b4481,,,,b1652
,,,,b3722,b0842,,,,b1660
,,,,b3723,b3034,,,,b1662
,,,,b3739,b0877,,,,b1692
,,,,b3740,b4686,,,,b1694
,,,,b3744,b1907,,,,b1695
,,,,b3769,b1501,,,,b1728
,,,,b3773,b3249,,,,b1734
,,,,b3778,b4314,,,,b1742
,,,,b3784,b2211,,,,b1769
,,,,b3795,b0958,,,,b1808
,,,,b3801,b2616,,,,b1814
,,,,b3813,b3184,,,,b1828
,,,,b3817,b2104,,,,b1843
,,,,b3819,b2103,,,,b1847
,,,,b3820,b1363,,,,b1860
,,,,b3822,b1550,,,,b1861
,,,,b3842,b3667,,,,b1862
,,,,b3846,b3728,,,,b1878
,,,,b3861,b0385,,,,b1961
,,,,b3862,b3965,,,,b1983
,,,,b3864,b0604,,,,b2008
,,,,b3871,b4312,,,,b2042
,,,,b3874,b0010,,,,b2046
,,,,b3875,b3727,,,,b2049
,,,,b3876,b3181,,,,b2050
,,,,b3877,b3399,,,,b2052
,,,,b3878,b3714,,,,b2053
,,,,b3879,b3622,,,,b2054
,,,,b3884,b3726,,,,b2055
,,,,b3889,b4029,,,,b2056
,,,,b3890,b3748,,,,b2062
,,,,b3896,b4050,,,,b2108
,,,,b3897,b0564,,,,b2119
,,,,b3898,b4456,,,,b2139
,,,,b3899,b4026,,,,b2140
,,,,b3900,b2506,,,,b2152
,,,,b3909,b1253,,,,b2163
,,,,b3918,b3173,,,,b2165
,,,,b3937,b1916,,,,b2166
,,,,b3944,b3816,,,,b2170
,,,,b3949,b2943,,,,b2199
,,,,b3973,b0059,,,,b2252
,,,,b3976,b1184,,,,b2271
,,,,b3977,b2250,,,,b2273
,,,,b3980,b0971,,,,b2316
,,,,b3981,b4253,,,,b2339
,,,,b3982,b1144,,,,b2345
,,,,b3989,b4131,,,,b2358
,,,,b4003,b4446,,,,b2374
,,,,b4004,b4553,,,,b2376
,,,,b4022,b3460,,,,b2413
,,,,b4027,b3793,,,,b2481
,,,,b4028,b3291,,,,b2482
,,,,b4038,b1625,,,,b2497
,,,,b4044,b3535,,,,b2498
,,,,b4048,b2958,,,,b2508
,,,,b4060,b1457,,,,b2530
,,,,b4063,b1785,,,,b2534
,,,,b4064,b2060,,,,b2551
,,,,b4074,b2671,,,,b2558
,,,,b4075,b2408,,,,b2559
,,,,b4076,b4205,,,,b2571
,,,,b4080,b0005,,,,b2574
