TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
b0001,b0032,b0025,b0032,b0013,b0032,b0234,b0008,b0991,b0025
b0025,b0034,b0032,b0034,b0022,b0033,b0318,b0025,b1073,b0038
b0038,b0036,b0038,b0038,b0032,b0034,b0329,b0026,b1797,b0040
b0040,b0037,b0039,b0039,b0034,b0036,b0707,b0028,b1946,b0060
b0060,b0038,b0070,b0060,b0035,b0040,b0787,b0038,b2207,b0072
b0072,b0039,b0097,b0068,b0036,b0041,b0794,b0039,b3121,b0073
b0073,b0041,b0104,b0070,b0037,b0046,b0796,b0048,b1223,b0074
b0074,b0043,b0106,b0104,b0038,b0060,b0797,b0049,b0990,b0076
b0076,b0045,b0113,b0113,b0039,b0066,b1197,b0051,b0656,b0077
b0077,b0060,b0125,b0116,b0040,b0068,b1268,b0052,b4517,b0104
b0104,b0068,b0157,b0120,b0041,b0070,b1304,b0053,b1674,b0106
b0106,b0070,b0161,b0121,b0042,b0104,b1450,b0055,b1224,b0126
b0126,b0099,b0167,b0157,b0043,b0106,b1469,b0072,b1474,b0127
b0127,b0104,b0174,b0161,b0045,b0126,b1535,b0073,b0301,b0135
b0135,b0106,b0175,b0167,b0064,b0127,b1585,b0074,b2402,b0138
b0138,b0113,b0183,b0169,b0065,b0135,b1599,b0077,b1551,b0139
b0139,b0121,b0211,b0174,b0068,b0138,b1600,b0097,b3365,b0144
b0144,b0135,b0214,b0211,b0070,b0139,b1601,b0099,b1074,b0160
b0145,b0139,b0296,b0214,b0075,b0141,b1843,b0102,b3366,b0162
b0147,b0140,b0354,b0231,b0076,b0144,b1846,b0103,b2206,b0169
b0160,b0157,b0369,b0244,b0077,b0157,b1973,b0113,b0303,b0178
b0162,b0161,b0393,b0312,b0078,b0161,b2053,b0116,b0339,b0183
b0169,b0167,b0398,b0313,b0104,b0162,b2131,b0121,b4071,b0185
b0178,b0174,b0406,b0318,b0106,b0169,b2253,b0126,b1796,b0193
b0183,b0211,b0417,b0327,b0107,b0174,b2254,b0127,b2878,b0217
b0185,b0217,b0421,b0336,b0108,b0175,b2255,b0128,b1225,b0224
b0191,b0218,b0436,b0369,b0112,b0183,b2567,b0157,b2667,b0231
b0193,b0231,b0463,b0381,b0123,b0185,b3216,b0161,b3117,b0232
b0217,b0232,b0465,b0393,b0135,b0193,b3238,b0169,b2871,b0234
b0222,b0234,b0469,b0398,b0138,b0217,b3363,b0172,b4688,b0235
b0223,b0244,b0470,b0406,b0139,b0231,b3416,b0174,b2870,b0236
b0224,b0252,b0472,b0436,b0140,b0234,b3417,b0175,b0137,b0241
b0231,b0278,b0495,b0452,b0141,b0235,b3534,b0178,b3556,b0242
b0232,b0294,b0496,b0458,b0144,b0236,b3548,b0183,b2379,b0244
b0234,b0295,b0522,b0463,b0148,b0241,b3859,b0188,b1226,b0249
b0235,b0297,b0523,b0469,b0149,b0244,b3862,b0210,b0528,b0251
b0236,b0311,b0524,b0523,b0156,b0253,b4108,b0211,b0929,b0253
b0241,b0312,b0569,b0524,b0157,b0272,b4111,b0215,b2203,b0254
b0242,b0315,b0571,b0536,b0160,b0277,b4127,b0224,b1905,b0277
b0244,b0317,b0576,b0583,b0161,b0278,b4149,b0243,b2208,b0288
b0249,b0318,b0577,b0607,b0162,b0288,b4237,b0254,b4036,b0295
b0251,b0319,b0628,b0628,b0169,b0294,b4238,b0288,b0450,b0310
b0253,b0320,b0630,b0632,b0175,b0295,b4248,b0341,b2205,b0315
b0254,b0327,b0632,b0635,b0183,b0310,b4555,b0386,b3704,b0317
b0277,b0336,b0635,b0650,b0188,b0315,b2667,b0393,b2668,b0326
b0288,b0364,b0661,b0661,b0192,b0317,b1905,b0398,b4072,b0327
b0295,b0369,b0684,b0683,b0193,b0326,b3704,b0404,b2879,b0354
b0310,b0393,b0736,b0684,b0201,b0327,b2668,b0406,b0721,b0357
b0315,b0398,b0737,b0736,b0210,b0336,b0721,b0411,b4062,b0386
b0317,b0406,b0738,b0737,b0217,b0363,b1558,b0414,b1475,b0392
b0326,b0436,b0774,b0738,b0218,b0364,b1915,b0421,b3118,b0398
b0327,b0469,b0797,b0750,b0226,b0369,b1014,b0436,b0263,b0406
b0354,b0499,b0813,b0774,b0229,b0376,b0946,b0452,b4566,b0427
b0357,b0501,b0817,b0797,b0230,b0392,b1163,b0469,b3115,b0436
b0386,b0504,b0818,b0817,b0231,b0393,b1530,b0470,b4667,b0458
b0392,b0511,b0822,b0818,b0232,b0398,b0459,b0471,b0846,b0463
b0398,b0516,b0835,b0822,b0234,b0406,b1243,b0472,b1557,b0498
b0406,b0517,b0837,b0835,b0235,b0408,b2681,b0478,b0280,b0515
b0427,b0522,b0841,b0841,b0236,b0411,b1216,b0515,b0844,b0516
b0436,b0523,b0847,b0847,b0241,b0427,b2369,b0524,b4032,b0522
b0458,b0524,b0853,b0853,b0242,b0436,b0460,b0536,b4307,b0523
b0462,b0527,b0874,b0874,b0244,b0463,b1234,b0555,b4037,b0527
b0463,b0532,b0892,b0888,b0245,b0465,b1329,b0567,b1977,b0532
b0481,b0533,b0905,b0892,b0247,b0469,b2533,b0627,b0574,b0535
b0498,b0535,b0910,b0899,b0248,b0501,b0304,b0630,b3116,b0536
b0515,b0536,b0914,b0905,b0249,b0511,b1707,b0632,b3707,b0539
b0516,b0544,b0915,b0910,b0251,b0523,b0443,b0635,b0722,b0542
b0522,b0551,b0916,b0921,b0252,b0527,b0461,b0638,b2289,b0543
b0523,b0587,b0926,b0926,b0253,b0532,b0795,b0639,b2888,b0544
b0527,b0616,b0927,b0940,b0254,b0536,b2112,b0674,b2693,b0554
b0532,b0628,b0948,b0948,b0267,b0543,b1182,b0683,b2789,b0555
b0535,b0629,b0960,b0960,b0272,b0544,b4050,b0684,b2669,b0556
b0536,b0630,b0969,b0969,b0276,b0562,b4026,b0736,b4306,b0559
b0539,b0632,b0970,b0970,b0277,b0565,b2302,b0737,b4070,b0562
b0542,b0645,b0993,b0985,b0278,b0576,b3291,b0738,b2734,b0565
b0543,b0646,b1047,b1021,b0288,b0578,b2060,b0740,b3051,b0576
b0544,b0647,b1062,b1047,b0289,b0587,b1060,b0746,b0306,b0577
b0554,b0649,b1069,b1062,b0290,b0603,b1951,b0765,b4432,b0583
b0555,b0650,b1086,b1069,b0291,b0619,,b0796,b4035,b0588
b0556,b0661,b1088,b1086,b0292,b0620,,b0797,b1821,b0589
b0559,b0684,b1095,b1088,b0293,b0621,,b0818,b0784,b0602
b0562,b0691,b1109,b1095,b0294,b0629,,b0827,b1075,b0620
b0565,b0703,b1112,b1109,b0295,b0632,,b0841,b1715,b0629
b0576,b0704,b1113,b1112,b0297,b0635,,b0847,b4557,b0638
b0577,b0716,b1116,b1113,b0310,b0638,,b0865,b0845,b0646
b0583,b0718,b1131,b1131,b0311,b0645,,b0888,b0233,b0647
b0588,b0719,b1164,b1164,b0312,b0646,,b0892,b0342,b0649
b0589,b0731,b1179,b1172,b0313,b0647,,b0909,b4345,b0661
b0602,b0736,b1203,b1183,b0315,b0650,,b0910,b3636,b0681
b0620,b0737,b1204,b1185,b0317,b0661,,b0914,b2659,b0683
b0629,b0750,b1206,b1203,b0318,b0665,,b0915,b1558,b0691
b0638,b0768,b1207,b1204,b0319,b0681,,b0918,b3126,b0714
b0646,b0771,b1255,b1206,b0320,b0691,,b0921,b0843,b0716
b0647,b0779,b1266,b1207,b0321,b0716,,b0923,b1857,b0718
b0649,b0797,b1268,b1213,b0323,b0718,,b0927,b3050,b0719
b0661,b0800,b1282,b1242,b0326,b0719,,b0948,b0305,b0736
b0681,b0818,b1298,b1266,b0327,b0731,,b0957,b1580,b0737
b0683,b0835,b1304,b1268,b0328,b0736,,b0964,b3710,b0738
b0691,b0841,b1306,b1282,b0336,b0737,,b0967,b2875,b0739
b0714,b0853,b1320,b1298,b0338,b0738,,b0984,b1227,b0740
b0716,b0872,b1330,b1299,b0343,b0739,,b0985,b1915,b0797
b0718,b0874,b1343,b1304,b0344,b0745,,b1018,b0063,b0805
b0719,b0892,b1355,b1306,b0346,b0746,,b1019,b3354,b0813
b0736,b0899,b1421,b1307,b0347,b0747,,b1024,b2997,b0818
b0737,b0901,b1424,b1308,b0348,b0750,,b1036,b3708,b0853
b0738,b0905,b1520,b1309,b0356,b0765,,b1054,b1552,b0874
b0739,b0910,b1523,b1319,b0357,b0771,,b1059,b3476,b0888
b0740,b0940,b1535,b1320,b0358,b0772,,b1070,b0372,b0892
b0741,b0948,b1560,b1386,b0361,b0787,,b1079,b4523,b0900
b0742,b0960,b1588,b1419,b0363,b0796,,b1088,b4502,b0909
b0797,b0969,b1592,b1421,b0364,b0797,,b1092,b2605,b0910
b0805,b0970,b1599,b1424,b0365,b0807,,b1095,b0987,b0911
b0813,b0985,b1600,b1430,b0366,b0822,,b1096,b1014,b0916
b0818,b0989,b1601,b1435,b0367,b0834,,b1097,b2876,b0940
b0849,b0993,b1627,b1438,b0368,b0835,,b1099,b0553,b0941
b0853,b1001,b1644,b1439,b0373,b0841,,b1116,b0946,b0948
b0874,b1021,b1652,b1445,b0375,b0848,,b1118,b1623,b0984
b0888,b1022,b1658,b1450,b0378,b0852,,b1119,b2996,b0985
b0892,b1024,b1733,b1459,b0392,b0853,,b1164,b1233,b0986
b0900,b1025,b1742,b1469,b0400,b0858,,b1180,b3873,b0989
b0909,b1029,b1749,b1499,b0427,b0868,,b1185,b4542,b1018
b0910,b1047,b1758,b1520,b0448,b0874,,b1203,b3175,b1019
b0911,b1062,b1782,b1535,b0451,b0883,,b1204,b4640,b1021
b0916,b1069,b1808,b1560,b0458,b0888,,b1206,b3083,b1022
b0940,b1086,b1812,b1566,b0463,b0899,,b1207,b1531,b1024
b0941,b1088,b1822,b1588,b0465,b0905,,b1213,b0557,b1025
b0948,b1109,b1825,b1591,b0467,b0910,,b1214,b3775,b1029
b0984,b1113,b1829,b1592,b0469,b0940,,b1238,b2518,b1036
b0985,b1121,b1843,b1599,b0475,b0948,,b1242,b2082,b1043
b0986,b1131,b1846,b1600,b0476,b0984,,b1249,b3477,b1057
b0989,b1139,b1849,b1601,b0495,b0985,,b1254,b4483,b1062
b1018,b1140,b1876,b1627,b0496,b0986,,b1255,b2766,b1086
b1019,b1141,b1961,b1629,b0498,b0989,,b1266,b4109,b1088
b1021,b1146,b1962,b1638,b0499,b0993,,b1275,b1163,b1095
b1022,b1147,b1973,b1652,b0501,b1001,,b1279,b3263,b1116
b1024,b1148,b2010,b1654,b0504,b1012,,b1280,b3076,b1131
b1025,b1151,b2027,b1658,b0505,b1018,,b1383,b2524,b1155
b1029,b1152,b2042,b1660,b0511,b1019,,b1388,b1061,b1159
b1036,b1153,b2044,b1662,b0515,b1021,,b1389,b1339,b1160
b1043,b1155,b2069,b1704,b0516,b1022,,b1390,b2801,b1161
b1057,b1157,b2107,b1722,b0517,b1024,,b1391,b2204,b1164
b1062,b1158,b2140,b1728,b0518,b1025,,b1445,b3367,b1172
b1086,b1159,b2152,b1735,b0520,b1029,,b1465,b1938,b1180
b1088,b1160,b2153,b1738,b0521,b1036,,b1466,b1892,b1185
b1095,b1161,b2170,b1742,b0522,b1047,,b1469,b4034,b1193
b1116,b1164,b2183,b1749,b0523,b1057,,b1476,b4478,b1206
b1131,b1183,b2185,b1771,b0527,b1062,,b1523,b4596,b1213
b1155,b1202,b2188,b1782,b0531,b1069,,b1570,b1922,b1214
b1159,b1203,b2193,b1808,b0532,b1082,,b1591,b2872,b1238
b1160,b1204,b2210,b1809,b0533,b1086,,b1602,b4110,b1242
b1161,b1206,b2312,b1814,b0534,b1088,,b1612,b1581,b1268
b1164,b1207,b2316,b1822,b0535,b1095,,b1627,b0636,b1282
b1172,b1213,b2330,b1825,b0536,b1121,,b1629,b1221,b1309
b1180,b1238,b2350,b1828,b0539,b1125,,b1634,b1284,b1319
b1185,b1268,b2351,b1831,b0542,b1140,,b1644,b2435,b1320
b1193,b1282,b2395,b1842,b0543,b1141,,b1652,b0340,b1349
b1206,b1304,b2413,b1843,b0544,b1148,,b1654,b2175,b1355
b1213,b1306,b2420,b1846,b0547,b1160,,b1708,b3075,b1366
b1214,b1309,b2455,b1849,b0549,b1161,,b1710,b2798,b1368
b1236,b1310,b2469,b1860,b0550,b1171,,b1711,b1841,b1377
b1238,b1319,b2476,b1861,b0551,b1172,,b1712,b0170,b1410
b1242,b1320,b2499,b1876,b0554,b1183,,b1713,b1945,b1419
b1268,b1330,b2500,b1924,b0556,b1185,,b1714,b2788,b1421
b1282,b1352,b2517,b1961,b0558,b1193,,b1722,b0429,b1438
b1309,b1353,b2519,b1962,b0559,b1194,,b1728,b0685,b1439
b1319,b1366,b2526,b1983,b0562,b1201,,b1754,b3709,b1450
b1320,b1368,b2527,b1986,b0565,b1202,,b1760,b3127,b1451
b1345,b1377,b2528,b2008,b0568,b1206,,b1768,b0873,b1459
b1349,b1383,b2529,b2010,b0569,b1207,,b1813,b3964,b1494
b1355,b1386,b2530,b2014,b0571,b1213,,b1814,b1232,b1495
b1366,b1387,b2550,b2027,b0572,b1238,,b1822,b2727,b1496
b1368,b1408,b2551,b2042,b0573,b1268,,b1829,b2768,b1497
b1377,b1409,b2559,b2071,b0575,b1282,,b1831,b4085,b1505
b1400,b1421,b2571,b2106,b0576,b1304,,b1842,b0416,b1506
b1410,b1424,b2574,b2107,b0577,b1309,,b1844,b1816,b1523
b1419,b1430,b2575,b2152,b0583,b1310,,b1846,b2428,b1535
b1421,b1435,b2594,b2153,b0587,b1319,,b1860,b4340,b1542
b1438,b1439,b2608,b2183,b0588,b1320,,b1866,b2603,b1554
b1439,b1450,b2611,b2185,b0589,b1353,,b1867,b1407,b1555
b1446,b1453,b2682,b2186,b0601,b1355,,b1870,b3870,b1556
b1450,b1459,b2701,b2193,b0602,b1365,,b1871,b1071,b1560
b1451,b1469,b2747,b2209,b0603,b1366,,b1874,b2620,b1564
b1459,b1494,b2765,b2210,b0612,b1368,,b1875,b0689,b1566
b1494,b1496,b2813,b2292,b0614,b1377,,b1876,b0164,b1579
b1495,b1497,b2827,b2312,b0615,b1408,,b1909,b4055,b1592
b1496,b1499,b2828,b2316,b0616,b1409,,b1928,b3185,b1599
b1497,b1502,b2829,b2330,b0619,b1410,,b1961,b4573,b1600
b1505,b1504,b2830,b2349,b0620,b1421,,b1962,b1137,b1612
b1506,b1505,b2891,b2350,b0629,b1435,,b1972,b2259,b1627
b1523,b1520,b2929,b2351,b0635,b1439,,b1973,b1530,b1629
b1535,b1523,b2951,b2352,b0638,b1445,,b2019,b4088,b1634
b1542,b1527,b2952,b2393,b0644,b1450,,b2020,b0781,b1651
b1554,b1535,b2955,b2395,b0645,b1451,,b2023,b2953,b1654
b1555,b1549,b2961,b2396,b0646,b1453,,b2027,b4585,b1658
b1556,b1560,b2992,b2413,b0647,b1459,,b2040,b0432,b1663
b1560,b1566,b2995,b2420,b0648,b1469,,b2041,b4477,b1691
b1564,b1579,b3002,b2456,b0649,b1476,,b2044,b2880,b1696
b1566,b1591,b3055,b2480,b0650,b1488,,b2096,b3114,b1705
b1579,b1592,b3072,b2497,b0661,b1494,,b2106,b1076,b1712
b1592,b1599,b3095,b2498,b0674,b1495,,b2107,b0062,b1716
b1599,b1600,b3105,b2499,b0681,b1496,,b2126,b1532,b1722
b1600,b1601,b3155,b2500,b0691,b1497,,b2145,b2509,b1736
b1612,b1615,b3162,b2508,b0692,b1499,,b2149,b0763,b1738
b1627,b1627,b3163,b2517,b0693,b1502,,b2153,b0724,b1749
b1629,b1629,b3182,b2534,b0695,b1503,,b2170,b1673,b1759
b1634,b1644,b3190,b2550,b0696,b1504,,b2173,b3301,b1761
b1651,b1645,b3195,b2551,b0703,b1505,,b2174,b0023,b1768
b1654,b1652,b3197,b2559,b0709,b1523,,b2182,b3308,b1771
b1658,b1654,b3230,b2561,b0714,b1535,,b2183,b3753,b1782
b1663,b1658,b3232,b2567,b0716,b1542,,b2186,b4017,b1788
b1691,b1660,b3235,b2571,b0718,b1554,,b2187,b4018,b1801
b1696,b1662,b3238,b2574,b0719,b1556,,b2188,b4342,b1809
b1705,b1691,b3240,b2575,b0720,b1560,,b2194,b0502,b1812
b1712,b1692,b3241,b2581,b0730,b1566,,b2197,b0723,b1822
b1716,b1694,b3243,b2582,b0731,b1579,,b2199,b2683,b1825
b1722,b1695,b3250,b2595,b0737,b1592,,b2210,b4535,b1831
b1736,b1696,b3251,b2617,b0738,b1599,,b2235,b1584,b1846
b1738,b1722,b3252,b2686,b0739,b1600,,b2277,b1988,b1877
b1749,b1728,b3260,b2695,b0740,b1605,,b2278,b4595,b1889
b1759,b1734,b3261,b2698,b0745,b1627,,b2281,b4440,b1904
b1761,b1742,b3289,b2699,b0746,b1629,,b2282,b4346,b1923
b1768,b1749,b3297,b2701,b0747,b1634,,b2290,b3344,b1924
b1771,b1769,b3298,b2713,b0750,b1644,,b2293,b1583,b1928
b1782,b1782,b3304,b2747,b0760,b1645,,b2299,b1685,b1936
b1788,b1801,b3306,b2748,b0765,b1649,,b2300,b3872,b1968
b1801,b1808,b3313,b2753,b0768,b1651,,b2301,b2684,b1981
b1809,b1809,b3314,b2765,b0769,b1652,,b2309,b0782,b1986
b1812,b1814,b3317,b2791,b0770,b1658,,b2310,b2157,b1989
b1822,b1822,b3318,b2829,b0771,b1660,,b2314,b1023,b2001
b1825,b1825,b3319,b2843,b0772,b1663,,b2319,b2977,b2010
b1831,b1828,b3320,b2845,b0774,b1690,,b2327,b0118,b2027
b1832,b1843,b3346,b2863,b0777,b1691,,b2328,b2896,b2043
b1838,b1846,b3347,b2868,b0780,b1695,,b2329,b3479,b2044
b1846,b1847,b3351,b2873,b0787,b1696,,b2330,b2436,b2071
b1877,b1860,b3352,b2874,b0794,b1722,,b2342,b0826,b2072
b1889,b1861,b3363,b2881,b0796,b1728,,b2344,b4122,b2105
b1904,b1862,b3364,b2882,b0797,b1734,,b2350,b3171,b2106
b1923,b1877,b3396,b2883,b0805,b1742,,b2393,b1631,b2107
b1924,b1878,b3424,b2891,b0807,b1749,,b2412,b2287,b2109
b1928,b1924,b3425,b2939,b0813,b1750,,b2413,b1858,b2155
b1936,b1936,b3434,b2951,b0817,b1769,,b2432,b1891,b2174
b1968,b1961,b3438,b2956,b0818,b1771,,b2451,b2897,b2185
b1974,b1968,b3461,b2963,b0822,b1775,,b2452,b4337,b2186
b1981,b1983,b3470,b2965,b0834,b1776,,b2453,b4350,b2193
b1986,b1986,b3493,b2972,b0835,b1782,,b2454,b2823,b2210
b1989,b1989,b3527,b2980,b0840,b1801,,b2455,b2151,b2238
b2001,b2008,b3539,b2995,b0841,b1812,,b2456,b3478,b2255
b2006,b2010,b3552,b3002,b0847,b1822,,b2458,b3092,b2270
b2010,b2027,b3585,b3035,b0848,b1825,,b2462,b1138,b2274
b2027,b2042,b3613,b3055,b0858,b1830,,b2479,b0715,b2275
b2028,b2043,b3614,b3088,b0868,b1831,,b2508,b3065,b2305
b2043,b2046,b3615,b3095,b0874,b1843,,b2517,b0945,b2306
b2044,b2049,b3618,b3146,b0883,b1846,,b2519,b2802,b2322
b2071,b2050,b3639,b3162,b0888,b1847,,b2522,b2220,b2330
b2072,b2052,b3644,b3190,b0899,b1860,,b2523,b2399,b2332
b2105,b2053,b3650,b3216,b0900,b1861,,b2526,b3084,b2349
b2106,b2054,b3654,b3232,b0901,b1877,,b2527,b4441,b2350
b2107,b2055,b3673,b3238,b0909,b1881,,b2537,b1230,b2351
b2109,b2056,b3700,b3250,b0910,b1883,,b2539,b3480,b2352
b2123,b2062,b3701,b3251,b0911,b1884,,b2541,b1959,b2354
b2155,b2071,b3702,b3252,b0913,b1885,,b2551,b3403,b2367
b2174,b2072,b3712,b3260,b0914,b1886,,b2552,b0459,b2375
b2185,b2106,b3715,b3261,b0915,b1887,,b2554,b0307,b2395
b2186,b2107,b3716,b3262,b0916,b1888,,b2555,b0652,b2396
b2193,b2108,b3738,b3320,b0920,b1889,,b2561,b3312,b2405
b2210,b2109,b3739,b3341,b0921,b1890,,b2563,b3693,b2420
b2238,b2119,b3740,b3342,b0934,b1901,,b2564,b2944,b2432
b2251,b2139,b3744,b3346,b0935,b1921,,b2565,b2618,b2455
b2255,b2140,b3754,b3347,b0936,b1923,,b2569,b0434,b2458
b2269,b2152,b3755,b3363,b0937,b1924,,b2571,b1798,b2462
b2270,b2163,b3778,b3364,b0938,b1925,,b2582,b1717,b2476
b2274,b2165,b3780,b3396,b0939,b1936,,b2587,b2288,b2480
b2275,b2166,b3784,b3423,b0940,b1983,,b2594,b2325,b2499
b2303,b2170,b3786,b3424,b0941,b1986,,b2598,b2102,b2500
b2305,b2186,b3787,b3425,b0942,b1989,,b2611,b1839,b2517
b2306,b2193,b3788,b3434,b0943,b2008,,b2630,b2461,b2522
b2322,b2199,b3789,b3470,b0944,b2014,,b2631,b2677,b2523
b2330,b2210,b3790,b3493,b0948,b2027,,b2646,b3311,b2526
b2332,b2252,b3806,b3503,b0949,b2041,,b2660,b2782,b2527
b2349,b2270,b3809,b3527,b0956,b2046,,b2661,b2285,b2531
b2350,b2271,b3812,b3528,b0959,b2048,,b2662,b2172,b2537
b2351,b2273,b3822,b3539,b0967,b2049,,b2663,b1633,b2539
b2352,b2274,b3825,b3552,b0969,b2050,,b2664,b1077,b2541
b2354,b2275,b3826,b3613,b0981,b2053,,b2689,b1243,b2542
b2367,b2316,b3833,b3614,b0982,b2054,,b2690,b2681,b2543
b2375,b2322,b3835,b3615,b0983,b2056,,b2708,b2904,b2554
b2395,b2330,b3859,b3618,b0984,b2062,,b2717,b0316,b2555
b2396,b2339,b3860,b3642,b0985,b2071,,b2718,b2877,b2561
b2405,b2345,b3861,b3644,b0986,b2107,,b2737,b1643,b2565
b2420,b2349,b3862,b3654,b0988,b2108,,b2738,b2073,b2567
b2432,b2350,b3871,b3664,b0989,b2109,,b2746,b2101,b2575
b2450,b2351,b3954,b3673,b0992,b2118,,b2747,b0238,b2581
b2455,b2358,b3972,b3696,b0993,b2119,,b2765,b0748,b2594
b2458,b2367,b3973,b3700,b0994,b2126,,b2791,b1794,b2617
b2462,b2374,b3977,b3702,b0995,b2139,,b2792,b1216,b2629
b2476,b2375,b3983,b3712,b0996,b2140,,b2794,b0744,b2630
b2480,b2376,b3984,b3715,b0997,b2163,,b2797,b3125,b2631
b2499,b2395,b3985,b3716,b0998,b2165,,b2807,b2459,b2641
b2500,b2396,b3999,b3736,b1006,b2166,,b2810,b2094,b2646
b2517,b2413,b4006,b3738,b1008,b2170,,b2813,b0512,b2647
b2522,b2420,b4044,b3739,b1009,b2173,,b2824,b3717,b2678
b2523,b2445,b4052,b3740,b1010,b2174,,b2825,b1762,b2679
b2526,b2481,b4058,b3754,b1011,b2183,,b2827,b0783,b2691
b2527,b2482,b4064,b3755,b1012,b2185,,b2832,b3646,b2695
b2531,b2497,b4108,b3764,b1018,b2186,,b2845,b3645,b2698
b2537,b2498,b4111,b3778,b1019,b2210,,b2868,b4202,b2699
b2539,b2499,b4146,b3784,b1020,b2229,,b2890,b3893,b2702
b2541,b2508,b4155,b3813,b1021,b2230,,b2891,b3891,b2703
b2542,b2517,b4200,b3822,b1022,b2255,,b2892,b0225,b2711
b2543,b2530,b4201,b3825,b1024,b2263,,b2893,b1498,b2713
b2554,b2531,b4207,b3832,b1025,b2270,,b2906,b3299,b2746
b2555,b2534,b4226,b3833,b1028,b2271,,b2909,b2460,b2747
b2561,b2551,b4232,b3842,b1029,b2275,,b2923,b2562,b2748
b2565,b2558,b4233,b3859,b1032,b2305,,b2927,b4049,b2753
b2567,b2559,b4237,b3860,b1036,b2322,,b2939,b4484,b2754
b2575,b2561,b4360,b3861,b1041,b2330,,b2951,b3382,b2755
b2581,b2565,b4361,b3862,b1043,b2339,,b2952,b2866,b2756
b2594,b2567,b4362,b3865,b1044,b2344,,b2955,b3305,b2757
b2609,b2571,b4364,b3871,b1047,b2345,,b2961,b0727,b2758
b2617,b2574,b4372,b3972,b1057,b2349,,b2962,b2685,b2760
b2629,b2575,b4394,b3973,b1059,b2350,,b2963,b3834,b2765
b2630,b2577,b4430,b3977,b1062,b2351,,b2964,b1335,b2797
b2631,b2581,b4469,b3983,b1069,b2352,,b2965,b0195,b2813
b2636,b2600,b4537,b3985,b1072,b2367,,b2972,b1789,b2817
b2637,b2601,b4642,b4006,b1079,b2372,,b2980,b2093,b2832
b2641,b2611,b0991,b4023,b1080,b2373,,b2992,b3037,b2835
b2646,b2617,b0990,b4044,b1081,b2375,,b2995,b0637,b2841
b2647,b2625,b2402,b4058,b1082,b2393,,b3002,b1777,b2842
b2674,b2626,b1551,b4064,b1086,b2395,,b3009,b0208,b2843
b2675,b2647,b2667,b4079,b1095,b2396,,b3018,b0653,b2845
b2676,b2648,b2379,b4108,b1096,b2419,,b3041,b3492,b2858
b2678,b2650,b0528,b4145,b1097,b2420,,b3055,b4077,b2863
b2679,b2686,b1905,b4146,b1098,b2432,,b3057,b0809,b2868
b2691,b2691,b3704,b4150,b1099,b2462,,b3064,b1078,b2881
b2695,b2698,b2668,b4155,b1112,b2497,,b3072,b1174,b2887
b2698,b2699,b0721,b4158,b1115,b2498,,b3077,b1427,b2890
b2699,b2701,b1557,b4162,b1121,b2499,,b3078,b1281,b2891
b2702,b2713,b0844,b4207,b1129,b2505,,b3082,b2583,b2892
b2703,b2753,b3707,b4226,b1140,b2517,,b3085,b3309,b2921
b2711,b2757,b0722,b4232,b1152,b2519,,b3090,b1778,b2923
b2713,b2758,b2693,b4233,b1153,b2534,,b3095,b0142,b2933
b2739,b2760,b2669,b4311,b1154,b2537,,b3099,b4213,b2938
b2745,b2765,b4306,b4347,b1155,b2543,,b3107,b1655,b2939
b2746,b2775,b2734,b4360,b1156,b2555,,b3110,b0030,b2940
b2747,b2778,b3051,b4364,b1157,b2558,,b3146,b2504,b2945
b2748,b2791,b0845,b4368,b1158,b2559,,b3155,b4498,b2951
b2753,b2816,b3636,b4372,b1159,b2561,,b3162,b2279,b2952
b2754,b2827,b1558,b4375,b1160,b2565,,b3164,b1035,b2955
b2755,b2828,b0843,b4403,b1161,b2567,,b3166,b0196,b2956
b2756,b2829,b1857,b4417,b1164,b2569,,b3169,b0122,b2960
b2757,b2832,b3050,b4437,b1171,b2574,,b3170,b2869,b2961
b2758,b2843,b3710,b4469,b1172,b2575,,b3177,b0190,b2962
b2760,b2845,b1915,b4499,b1180,b2581,,b3182,b1089,b2963
b2765,b2846,b2997,b4536,b1183,b2594,,b3189,b4256,b2965
b2797,b2847,b1552,b4537,b1185,b2600,,b3190,b2935,b2967
b2813,b2849,b4502,b4598,b1193,b2601,,b3191,b3020,b2972
b2817,b2851,b2605,b4613,b1194,b2617,,b3193,b3186,b2984
b2832,b2854,b0946,b4618,b1196,b2629,,b3194,b2844,b2985
b2835,b2858,b2996,b4638,b1201,b2647,,b3197,b2369,b2986
b2841,b2863,b1233,b4642,b1202,b2648,,b3198,b2796,b2987
b2842,b2873,b4542,b4645,b1206,b2650,,b3199,b1636,b2998
b2843,b2882,b3175,b4668,b1213,b2686,,b3200,b1677,b3002
b2845,b2887,b3775,b4670,b1218,b2689,,b3201,b1632,b3021
b2853,b2891,b2518,b4680,b1220,b2690,,b3202,b0308,b3022
b2858,b2921,b4483,b0991,b1238,b2691,,b3205,b1859,b3030
b2863,b2933,b1163,b0990,b1242,b2695,,b3212,b2949,b3041
b2868,b2939,b3263,b1674,b1249,b2698,,b3213,b2576,b3043
b2881,b2940,b1339,b2402,b1268,b2699,,b3223,b3573,b3046
b2887,b2951,b0636,b1551,b1282,b2701,,b3235,b0766,b3047
b2890,b2955,b2435,b2878,b1296,b2702,,b3250,b3219,b3048
b2891,b2965,b2175,b2667,b1297,b2703,,b3256,b4216,b3057
